city_name,density_city_2007,trade_ratio_city_2007,trade_ratio_city_2010,N_2017,Unemploy_2017,N_2007,Unemploy_2007,density_city_2010,trade_ratio_city_2014,density_city_2014,trade_ratio_city_2017,density_city_2017,chr_dummy,year_chr,trade_accessible_dummy,category
Laiwu,555.91998,0.666435506,0.64581764,129,0.6953,124.86,0.7433,562.69,0.6774869,563.31,0.6568836,574.35443,0,,0,4
Langfang,615.48999,0.298873693,0.35863441,470,0.9636,395.7,0.584,642.90997,0.47107062,661.83002,0.44593766,736.44623,1,2011,0,4
Lanzhou,239.69,0.494269088,0.46331277,324,1.7283,313.64,2.2602,247.28,0.46773699,281.64999,0.43857202,247.59285,1,2014,0,3
Leshan,272.98001,0.571915474,0.56923604,355,2.4553,350.12,2.0281,275.39001,0.5324232,279.81,0.44620869,279.02225,1,2014,0,4
Lianyungang,639.22998,0.433738902,0.4554188,534,1.1752,479.42,1.8413,654.19,0.52987289,683.09998,0.48501897,701.24756,0,,0,4
Liaocheng,657.28003,0.415072464,0.41324201,633,2.5556,572.82,2.3018,678.95001,0.46074381,665.09003,0.42378849,704.58594,0,,0,4
Liaoyang,384.88,0.563224738,0.52600121,179,1.5271,182.55,2.14,387.42001,0.51909548,380.13,0.48381963,373.85129,1,2012,0,4
Liaoyuan,239.77,0.491596639,0.47597766,120,1.1641,123.22,1.5678,240.86,0.60875911,237.2,0.56640571,233.46303,0,,0,4
Lijiang,54.389999,0.206349206,0.31724969,122,0.6553,115.42,0.3074,56.799999,0.28165138,56.599998,0.18834922,58.994198,0,,0,4
Lincang,90.160004,0.380903491,0.28348911,237,0.9538,220.61,0.7256,97.919998,0.43333334,100.09,0.39252356,100.3387,0,,0,4
Linfen,205.64999,0.394134078,0.35541829,434,1.9253,416.95,1.6481,215.56,0.37377891,210.71001,0.3494623,214.05672,1,2014,0,4
Linyi,594.82001,0.42913598,0.42210144,1141,2.6424,1022.73,2.863,605.85999,0.50534123,634.29999,0.50915676,663.71936,0,,0,4
Lishui,145.99001,0.294989414,0.31798381,268,0.9469,252.53,0.7002,148.8,0.28277779,152.48,0.22416654,154.93121,0,,0,4
Liuan,382.03,0.348943985,0.33836997,587,2.1998,686.73,3.9,392.67999,0.29164383,397.92999,0.2021295,379.91068,0,,0,4
Liupanshui,301.48999,0.602556976,0.57348245,340,1.6555,300.43,1.86,321.07999,0.57639998,328.23001,0.48751861,342.94937,1,2016,0,4
Liuzhou,193.64999,0.485153765,0.45812112,386,2.7987,360.51,3.5485,197.42999,0.56935751,200.22,0.56142318,207.56036,1,2014,0,4
Longnan,98.199997,0.269736842,0.24513274,288,0.352,274.12,1.0029,100.01,0.27621952,101.57,0.28427926,103.45199,0,,0,4
Longyan,150.92999,0.470100393,0.51729053,314,1.7143,287.52,1.2155,153.88,0.47623187,158.71001,0.40184051,164.717,0,,0,4
Loudi,507.63,0.455724508,0.51870322,453,2.6989,412.04,2.3443,518.09003,0.50164473,540.35999,0.50451684,558.63855,1,2016,0,4
Luohe,1019.3,0.526511628,0.53412735,269,0.6778,266.75,0.5031,1054.91,0.6192053,1269.35,0.61286384,1027.8945,1,2012,0,4
Luoyang,437.10001,0.46059208,0.44556913,737,4.8642,664.39,3.1116,457.16,0.50549448,454.38,0.4916943,483.72275,1,2010,0,4
Luzhou,395.28,0.49368155,0.54324222,508,1.5279,484.1,1.8532,406.53,0.56545961,415.51001,0.55825931,415.16837,0,,0,4
Lvliang,171.53,0.418486172,0.40706128,391,1.19,361.85,0.9438,179.42,0.46658292,185.45,0.45476064,184.09529,0,,0,4
Maanshan,750.71002,0.644710579,0.63488978,229,0,126.57,0.8507,762.81,0.56582278,564.09003,0.53827941,565.57172,0,,0,4
Maoming,612.31,0.348311026,0.34566286,799,0,701.59,2.3714,641.73999,0.45133927,663.13,0.45587981,699.09875,0,,0,4
Meishan,475.92999,0.390405294,0.39206713,350,1.6055,342,1.0841,484.37,0.47525254,493.25,0.44687805,490.19608,1,2014,0,4
Meizhou,316.32999,0.311150286,0.30065361,551,1.4029,500.94,2.6375,319.70001,0.39661017,330.89001,0.38289103,347.30539,0,,0,4
Mianyang,262.89001,0.48035488,0.49218315,545,3.4791,533.3,3.2797,268.98001,0.49272349,270.34,0.45805246,269.16238,1,2014,0,4
Mudanjiang,66.080002,0.529215976,0.47007841,259,2.729,268.17,1.9166,66.669998,0.47735849,67.43,0.44668677,66.706161,0,,0,4
Nanchang,653.82001,0.446883972,0.49645603,523,6.5,483.96,3.7377,671.89001,0.61981606,689.10999,0.62719381,706.5658,1,2014,0,3
Nanchong,588.15997,0.377168213,0.34357646,741,2.9847,733.96,2.0432,603.82001,0.4643026,608.28003,0.42059129,593.89276,0,,0,4
Nanjing,922.56,0.452613024,0.47237805,663,6.5428,607.23,6.0106,956.81,0.51008791,976.29999,0.44269019,1006.528,1,2010,1,2
Nanning,303.85999,0.354734635,0.3516722,752,2.8788,671.89,2.945,315.81,0.41324502,325.67001,0.43129727,338.0687,1,2014,0,3
Nanping,116.16,0.463121784,0.45605803,321,1.8508,305.27,2.0335,117.84,0.36995885,120.26,0.37229425,122.14612,0,,0,4
Nantong,962.12,0.573850725,0.59416789,767,3.5176,769.79,3.3575,953.21002,0.80429584,958.02002,0.81480181,727.08313,0,,0,3
